path,phase_hint,lines,functions,classes,imports,risks,parse_ok
core\adaptivity\adaptation_engine.py,Unclassified,52,0,0,,,True
context\live_context.py,Unclassified,313,0,0,,,True
core\adaptivity\adaptation_rules.py,Unclassified,32,0,0,,,True
core\adaptivity\parameter_registry.py,Unclassified,62,0,0,,,True
core\bootstrap\__init__.py,Unclassified,1,0,0,,,True
core\adaptivity\parameter_contract.py,Unclassified,23,0,0,,,True
core\capital\allocation_report.py,Unclassified,49,0,0,,,True
core\capital\capital_contracts.py,Unclassified,43,0,0,,,True
core\capital\__init__.py,Unclassified,1,0,0,,,True
core\capital\correlation_matrix.py,Unclassified,18,0,0,,,True
core\bootstrap\bootstrap_runtime.py,Unclassified,24,0,0,,,True
core\capital\capital_allocator.py,Unclassified,243,0,0,,,True
core\capital\allocator.py,Unclassified,42,0,0,,,True
core\capital\allocation\allocator.py,Unclassified,107,0,0,,,True
core\capital\capital_events.py,Unclassified,8,0,0,,,True
core\capital\allocation\tests\test_allocator.py,Unclassified,61,0,0,,,True
core\capital\risk_metrics.py,Phase A,30,0,0,,,True
core\capital\attribution\attribution_report.py,Unclassified,14,0,0,,,True
core\capital\attribution\attribution_engine.py,Unclassified,35,0,0,,,True
core\capital\evidence_emitter.py,Unclassified,75,0,0,,,True
core\capital\governance\approval.py,Unclassified,49,0,0,,,True
core\capital\attribution\tests\test_attribution_engine.py,Unclassified,21,0,0,,,True
core\capital\governance\decision.py,Unclassified,16,0,0,,,True
core\capital\attribution\attribution_record.py,Unclassified,16,0,0,,,True
core\capital\governance\override.py,Unclassified,25,0,0,,,True
core\capital\governance\tests\test_governance_gate.py,Unclassified,41,0,0,,,True
core\capital\stress\tests\test_stress_engine.py,Unclassified,21,0,0,,,True
core\capital\tests\test_capital_evidence_emission.py,Unclassified,44,0,0,,,True
core\capital\stress\shock_models.py,Unclassified,11,0,0,,,True
core\capital\stress\stress_report.py,Unclassified,15,0,0,,,True
core\capital\stress\stress_engine.py,Unclassified,32,0,0,,,True
core\contracts\__init__.py,Unclassified,1,0,0,,,True
core\evidence\audit_json_report.py,Unclassified,92,0,0,,,True
core\contracts\screening.py,Unclassified,28,0,0,,,True
core\contracts\watchlist.py,Unclassified,27,0,0,,,True
core\evidence\audit_pdf_report.py,Unclassified,75,0,0,,,True
core\evidence\checksum.py,Unclassified,59,0,0,,,True
core\evidence\audit_contracts.py,Unclassified,35,0,0,,,True
core\evidence\decision_contracts.py,Unclassified,58,0,0,,,True
core\evidence\replay_contracts.py,Unclassified,37,0,0,,,True
core\evidence\diff_engine.py,Unclassified,52,0,0,,,True
core\evidence\governance_contracts.py,Unclassified,38,0,0,,,True
core\evidence\governance_binder.py,Unclassified,54,0,0,,,True
core\evidence\decision_store.py,Phase C,49,0,0,,,True
core\evidence\report_contracts.py,Unclassified,64,0,0,,,True
core\evidence\replay_engine.py,Unclassified,49,0,0,,,True
core\evidence\report_pdf.py,Unclassified,74,0,0,,,True
core\evidence\report_builder.py,Unclassified,84,0,0,,,True
core\evidence\report_json.py,Unclassified,24,0,0,,,True
core\evidence\tests\test_audit_reports.py,Unclassified,39,0,0,,,True
core\evidence\signing.py,Unclassified,38,0,0,,,True
core\evidence\tests\test_decision_store.py,Phase C,84,0,0,,,True
core\evidence\tests\test_governance_signature.py,Unclassified,39,0,0,,,True
core\evidence\tests\test_legacy_report_json.py,Unclassified,23,0,0,,,True
core\evidence\tests\test_checksum.py,Unclassified,78,0,0,,,True
core\evidence\tests\test_legacy_report_contracts.py,Unclassified,20,0,0,,,True
core\evidence\tests\test_decision_contract.py,Unclassified,67,0,0,,,True
core\evidence\tests\test_replay_and_diff.py,Unclassified,66,0,0,,,True
core\explainability\decision_trace.py,Unclassified,104,0,0,,,True
core\explainability\lifecycle.py,Phase E,59,0,0,,,True
core\evidence\tests\test_legacy_report_pdf.py,Unclassified,41,0,0,,,True
core\execution\tests\test_execution_guard_integration.py,Phase B,31,0,0,,,True
core\evidence\tests\test_legacy_report_builder.py,Unclassified,27,0,0,,,True
core\explainability\__init__.py,Unclassified,1,0,0,,,True
core\explainability\strategy.py,Phase D,93,0,0,,,True
core\execution\execution_guard.py,Phase B,14,0,0,,,True
core\explainability\tests\test_strategy_explain.py,Phase D,28,0,0,,,True
core\incidents\replayer.py,Unclassified,31,0,0,,,True
core\incidents\snapshotter.py,Unclassified,49,0,0,,,True
core\live\canary_executor.py,Unclassified,23,0,0,,,True
core\explainability\tests\test_decision_trace.py,Unclassified,53,0,0,,,True
core\live\canary_contracts.py,Unclassified,18,0,0,,,True
core\explainability\tests\test_lifecycle_explain.py,Phase E,31,0,0,,,True
core\live\canary_guards.py,Unclassified,9,0,0,,,True
core\incidents\__init__.py,Unclassified,1,0,0,,,True
core\live\canary_telemetry.py,Unclassified,17,0,0,,,True
core\live\live_capital_guard.py,Unclassified,22,0,0,,,True
core\live\live_registry.py,Unclassified,21,0,0,,,True
core\live\__init__.py,Unclassified,1,0,0,,,True
core\live\live_approval.py,Unclassified,26,0,0,,,True
core\live\live_kill_switch.py,Unclassified,46,0,0,,,True
core\live_ops\enums.py,Unclassified,21,0,0,,,True
core\live\live_executor.py,Unclassified,51,0,0,,,True
core\live_ops\promotion.py,Unclassified,19,0,0,,,True
core\live_ops\strategy.py,Phase D,19,0,0,,,True
core\live_ops\system.py,Unclassified,18,0,0,,,True
core\live_ops\__init__.py,Unclassified,17,0,0,,,True
core\live_ops\watchlist.py,Unclassified,30,0,0,,,True
core\live_ops\tests\test_enums.py,Unclassified,27,0,0,,,True
core\live_ops\screening.py,Unclassified,17,0,0,,,True
core\live_ops\tests\test_screening_contracts.py,Unclassified,16,0,0,,,True
core\live_ops\tests\test_promotion_contracts.py,Unclassified,18,0,0,,,True
core\live_ops\tests\__init__.py,Unclassified,1,0,0,,,True
core\live_ops\tests\test_strategy_contracts.py,Phase D,18,0,0,,,True
core\live_trading\audit.py,Unclassified,32,0,0,,,True
core\live_ops\tests\test_system_contracts.py,Unclassified,17,0,0,,,True
core\live_trading\broker.py,Unclassified,23,0,0,,,True
core\live_trading\alerts.py,Unclassified,13,0,0,,,True
core\live_trading\capital.py,Unclassified,42,0,0,,,True
core\live_trading\config.py,Phase 0,9,0,0,,,True
core\live_trading\divergence.py,Unclassified,18,0,0,,,True
core\live_trading\guard.py,Unclassified,29,0,0,,,True
core\live_trading\status.py,Unclassified,12,0,0,,,True
core\live_trading\__init__.py,Unclassified,1,0,0,,,True
core\live_trading\kill_switch.py,Unclassified,20,0,0,,,True
core\live_trading\tests\test_audit_and_alerts.py,Unclassified,45,0,0,,,True
core\live_trading\telemetry.py,Unclassified,36,0,0,,,True
core\live_trading\tests\test_kill_switch.py,Unclassified,18,0,0,,,True
core\live_trading\tests\test_live_broker_stub.py,Unclassified,15,0,0,,,True
core\live_trading\tests\test_divergence.py,Unclassified,15,0,0,,,True
core\live_trading\promotion.py,Unclassified,162,0,0,,,True
core\live_trading\tests\test_live_guard.py,Unclassified,48,0,0,,,True
core\live_trading\tests\test_capital_limits.py,Unclassified,28,0,0,,,True
core\logging_utils\formatters.py,Unclassified,7,0,0,,,True
core\logging_utils\structured_logger.py,Unclassified,65,0,0,,,True
core\live_trading\tests\test_promotion.py,Unclassified,95,0,0,,,True
core\ml\advisory_engine.py,Unclassified,54,0,0,,,True
core\logging_utils\handlers.py,Unclassified,22,0,0,,,True
core\logging_utils\__init__.py,Unclassified,1,0,0,,,True
core\live_trading\tests\test_telemetry.py,Unclassified,15,0,0,,,True
core\ml\feature_builder.py,Phase C,31,0,0,,,True
core\operations\ops_events.py,Unclassified,34,0,0,,,True
core\ml\ml_events.py,Unclassified,8,0,0,,,True
core\ml\meta_model.py,Phase E,24,0,0,,,True
core\ml\model_registry.py,Unclassified,27,0,0,,,True
core\ml\prediction_contract.py,Unclassified,20,0,0,,,True
core\ml\__init__.py,Unclassified,1,0,0,,,True
core\ml\feature_store.py,Phase C,39,0,0,,,True
core\operations\ops_recorder.py,Phase B,49,0,0,,,True
core\operations\ops_store.py,Phase C,54,0,0,,,True
core\operations\drills\drill_contract.py,Unclassified,24,0,0,,,True
core\operations\drills\drill_replay.py,Unclassified,17,0,0,,,True
core\operator_dashboard\adapters\strategy_lifecycle_adapter.py,Phase D,101,0,0,,,True
core\operator_dashboard\adapters\system_health_adapter.py,Phase F,20,0,0,,,True
core\oversight\engine.py,Unclassified,69,0,0,,,True
core\operations\drills\drill_runner.py,Unclassified,29,0,0,,,True
core\operator_dashboard\registry.py,Unclassified,21,0,0,,,True
core\oversight\contracts\insight.py,Unclassified,24,0,0,,,True
core\operator_dashboard\contracts\strategy_lifecycle.py,Phase D,24,0,0,,,True
core\operator_dashboard\contracts\governance_view.py,Unclassified,13,0,0,,,True
core\oversight\contracts\anomaly.py,Unclassified,27,0,0,,,True
core\oversight\contracts\finding.py,Unclassified,19,0,0,,,True
core\operator_dashboard\contracts\system_health.py,Phase F,14,0,0,,,True
core\oversight\contracts\correlation.py,Unclassified,23,0,0,,,True
core\oversight\contracts\correlated_event.py,Unclassified,41,0,0,,,True
core\oversight\correlation\contracts.py,Unclassified,93,0,0,,,True
core\oversight\correlation\severity_policy.py,Unclassified,55,0,0,,,True
core\oversight\contracts\severity.py,Unclassified,26,0,0,,,True
core\oversight\correlation\engine.py,Unclassified,123,0,0,,,True
core\oversight\contracts\__init__.py,Unclassified,12,0,0,,,True
core\oversight\correlation\severity.py,Unclassified,21,0,0,,,True
core\oversight\correlation\correlator.py,Unclassified,17,0,0,,,True
core\oversight\detectors\capital_drift.py,Unclassified,106,0,0,,,True
core\oversight\tests\test_anomaly_contract.py,Unclassified,20,0,0,,,True
core\oversight\detectors\governance_friction.py,Unclassified,135,0,0,,,True
core\oversight\tests\test_capital_drift_detector.py,Unclassified,61,0,0,,,True
core\oversight\detectors\__init__.py,Unclassified,10,0,0,,,True
core\oversight\contracts\observation.py,Unclassified,31,0,0,,,True
core\oversight\detectors\lifecycle_anomaly.py,Phase E,125,0,0,,,True
core\oversight\tests\test_correlation_engine.py,Unclassified,160,0,0,,,True
core\oversight\tests\test_insight_contract.py,Unclassified,28,0,0,,,True
core\oversight\tests\test_observation_contract.py,Unclassified,37,0,0,,,True
core\oversight\tests\test_governance_friction_detector.py,Unclassified,115,0,0,,,True
core\paper\paper_broker.py,Unclassified,26,0,0,,,True
core\paper\paper_models.py,Unclassified,24,0,0,,,True
core\oversight\tests\test_severity_policy.py,Unclassified,68,0,0,,,True
core\oversight\tests\test_lifecycle_anomaly_detector.py,Phase E,102,0,0,,,True
core\paper\paper_ledger.py,Unclassified,22,0,0,,,True
core\paper\paper_summary.py,Unclassified,31,0,0,,,True
core\paper\paper_executor.py,Unclassified,63,0,0,,,True
core\paper\paper_telemetry.py,Unclassified,32,0,0,,,True
core\paper\__init__.py,Unclassified,1,0,0,,,True
core\paper_trading\ledger.py,Unclassified,17,0,0,,,True
core\paper_trading\tests\test_paper_ledger.py,Unclassified,10,0,0,,,True
core\paper_trading\tests\test_paper_broker.py,Unclassified,10,0,0,,,True
core\paper_trading\engine.py,Unclassified,50,0,0,,,True
core\paper_trading\broker.py,Unclassified,27,0,0,,,True
core\phase_b\advisory.py,Unclassified,14,0,0,,,True
core\phase_b\capital_allocator.py,Unclassified,60,0,0,,,True
core\paper_trading\tests\test_paper_engine.py,Unclassified,64,0,0,,,True
core\phase_b\confidence.py,Unclassified,24,0,0,,,True
core\phase_b\metrics.py,Unclassified,21,0,0,,,True
core\phase_b\tests\test_phase_b_is_advisory.py,Unclassified,24,0,0,,,True
core\phase_b\tests\test_capital_allocator.py,Unclassified,41,0,0,,,True
core\phase_b\tests\test_phase_b_metrics.py,Unclassified,29,0,0,,,True
core\phase_c\alpha_generation\generator.py,Phase D,45,0,0,,,True
