path,phase_hint,lines,functions,classes,imports,risks,parse_ok
core\watchlist\watchlist_loader.py,Unclassified,27,0,0,,,True
core\watchlist\watchlist_store.py,Phase C,57,0,0,,,True
core\watchlist\snapshot.py,Unclassified,40,0,0,,,True
core\watchlist\__init__.py,Unclassified,38,0,0,,,True
core\watchlist\scorer.py,Unclassified,19,0,0,,,True
core\watchlist\watchlist_builder_legacy.py,Unclassified,19,0,0,,,True
core\watchlist\tests\test_builder.py,Unclassified,29,0,0,,,True
core\watchlist\tests\test_watchlist_builder.py,Unclassified,38,0,0,,,True
core\watchlist\tests\test_filters.py,Unclassified,33,0,0,,,True
core\watchlist\tests\test_ranker.py,Unclassified,17,0,0,,,True
dashboard\app.py,Unclassified,175,0,0,,,True
dashboard\streamlit_dashboard.py,Unclassified,48,0,0,,,True
dashboard\watchlist_trigger_ui.py,Unclassified,18,0,0,,,True
core\watchlist\tests\__init__.py,Unclassified,2,0,0,,,True
dashboard\__init__.py,Unclassified,1,0,0,,,True
data\dhan_fetcher.py,Phase C,19,0,0,,,True
dashboard\watchlist_ui.py,Unclassified,49,0,0,,,True
data\cleaner.py,Phase C,9,0,0,,,True
data\idempotency.py,Phase C,179,0,0,,,True
data\feature_store.py,Phase C,458,0,0,,,True
data\drift_detector.py,Phase C,43,0,0,,,True
data\dispatcher.py,Phase C,276,0,0,,background_task,True
data\ingestion.py,Phase C,45,0,0,,,True
data\indicators.py,Phase C,123,0,0,,,True
data\sanitization.py,Phase C,93,0,0,,,True
data\ohlcv_store.py,Phase C,365,0,0,,,True
data\models.py,Phase C,59,0,0,,,True
data\registry.py,Phase C,74,0,0,,,True
data\strategy.py,Phase C,55,0,0,,,True
data\universe_loader.py,Phase C,31,0,0,,,True
data\schema_validator.py,Phase C,7,0,0,,,True
data\ohlcv.py,Phase C,76,0,0,,,True
data\validators.py,Phase C,16,0,0,,,True
data\tick_store.py,Phase C,734,0,0,,infinite_loop,True
data\watchlist_builder.py,Phase C,53,0,0,,,True
data\execution\reconciler.py,Phase B,28,0,0,,,True
data\execution\state.py,Phase B,11,0,0,,,True
data\execution\intent.py,Phase B,75,0,0,,,True
data\__init__.py,Phase C,24,0,0,,,True
data\execution\__init__.py,Phase B,26,0,0,,,True
data\execution\errors.py,Phase B,13,0,0,,,True
data\execution\store.py,Phase B,68,0,0,,,True
data\features\definitions.py,Phase C,70,0,0,,,True
data\execution\executor.py,Phase B,21,0,0,,,True
data\features\errors.py,Phase C,22,0,0,,,True
